pattern_id,stop_sequence,stop_id,zones
4001_0_3,1,10002,Alcochete
4001_0_3,2,10161,Alcochete
4001_0_3,3,10001,Alcochete
4001_0_3,4,10005,Alcochete
4001_0_3,5,10007,Alcochete
4001_0_3,6,10009,Alcochete
4001_0_3,7,10012,Alcochete
4001_0_3,8,10013,Alcochete
4001_0_3,9,10016,Alcochete
4001_0_3,10,10017,Alcochete
4001_0_3,11,10019,Alcochete
4001_0_3,12,10021,Alcochete
4001_0_3,13,10023,Alcochete
4001_0_3,14,10018,Alcochete
4001_0_3,15,10015,Alcochete
4001_0_3,16,10014,Alcochete
4001_0_3,17,10011,Alcochete
4001_0_3,18,10010,Alcochete
4001_0_3,19,10008,Alcochete
4001_0_3,20,10025,Alcochete
4001_0_3,21,10027,Alcochete
4001_0_3,22,10029,Alcochete
4001_0_3,23,10031,Alcochete
4001_0_3,24,10033,Alcochete
4001_0_3,25,10035,Alcochete
4001_0_3,26,10038,Alcochete
4001_0_3,27,10040,Alcochete
4001_0_3,28,10041,Alcochete
4001_0_3,29,10039,Alcochete
4001_0_3,30,10037,Alcochete
4001_0_3,31,10036,Alcochete
4001_0_3,32,10034,Alcochete
4001_0_3,33,10032,Alcochete
4001_0_3,34,10030,Alcochete
4001_0_3,35,10028,Alcochete
4001_0_3,36,10002,Alcochete
4002_0_3,1,10043,Alcochete
4002_0_3,2,10045,Alcochete
4002_0_3,3,10047,Alcochete
4002_0_3,4,10049,Alcochete
4002_0_3,5,10051,Alcochete
4002_0_3,6,10053,Alcochete
4002_0_3,7,10055,Alcochete
4002_0_3,8,10068,Alcochete
4002_0_3,9,10058,Alcochete
4002_0_3,10,10059,Alcochete
4002_0_3,11,10062,Alcochete
4002_0_3,12,10063,Alcochete
4002_0_3,13,10064,Alcochete
4002_0_3,14,10061,Alcochete
4002_0_3,15,10066,Alcochete
4002_0_3,16,10057,Alcochete
4002_0_3,17,10067,Alcochete
4002_0_3,18,10056,Alcochete
4002_0_3,19,10054,Alcochete
4002_0_3,20,10052,Alcochete
4002_0_3,21,10050,Alcochete
4002_0_3,22,10048,Alcochete
4002_0_3,23,10069,Alcochete
4002_0_3,24,10071,Alcochete
4002_0_3,25,10011,Alcochete
4002_0_3,26,10010,Alcochete
4002_0_3,27,10008,Alcochete
4002_0_3,28,10025,Alcochete
4002_0_3,29,10073,Alcochete
4002_0_3,30,10002,Alcochete
4002_0_3,31,10161,Alcochete
4002_0_3,32,10001,Alcochete
4002_0_3,33,10005,Alcochete
4002_0_3,34,10007,Alcochete
4002_0_3,35,10009,Alcochete
4002_0_3,36,10012,Alcochete
4002_0_3,37,10043,Alcochete
4101_0_1,1,90001,Moita
4101_0_1,2,90004,Moita
4101_0_1,3,90006,Moita
4101_0_1,4,90007,Moita
4101_0_1,5,90009,Moita
4101_0_1,6,90012,Moita
4101_0_1,7,90312,Moita
4101_0_1,8,90013,Moita
4101_0_1,9,90015,Moita
4101_0_1,10,90017,Moita
4101_0_1,11,90019,Moita
4101_0_1,12,90021,Moita
4101_0_1,13,90023,Moita
4101_0_1,14,90025,Moita
4101_0_1,15,90028,Moita
4101_0_1,16,90030,Moita
4101_0_1,17,90032,Moita
4101_0_1,18,90034,Moita
4101_0_1,19,90036,Moita
4101_0_1,20,90038,Moita
4101_0_1,21,90040,Moita
4101_0_1,22,90042,Moita
4101_0_1,23,90043,Moita
4101_0_2,1,90044,Moita
4101_0_2,2,90041,Moita
4101_0_2,3,90039,Moita
4101_0_2,4,90037,Moita
4101_0_2,5,90035,Moita
4101_0_2,6,90033,Moita
4101_0_2,7,90031,Moita
4101_0_2,8,90029,Moita
4101_0_2,9,90027,Moita
4101_0_2,10,90026,Moita
4101_0_2,11,90024,Moita
4101_0_2,12,90022,Moita
4101_0_2,13,90045,Moita
4101_0_2,14,90047,Moita
4101_0_2,15,90014,Moita
4101_0_2,16,90314,Moita
4101_0_2,17,90011,Moita
4101_0_2,18,90010,Moita
4101_0_2,19,90008,Moita
4101_0_2,20,90005,Moita
4101_0_2,21,90003,Moita
4101_0_2,22,90012,Moita
4101_0_2,23,90049,Moita
4101_0_2,24,90001,Moita
4102_0_1,1,90052,Moita
4102_0_1,2,90054,Moita
4102_0_1,3,90056,Moita
4102_0_1,4,90058,Moita
4102_0_1,5,90060,Moita
4102_0_1,6,90061,Moita
4102_0_1,7,90064,Moita
4102_0_1,8,90066,Moita
4102_0_1,9,90067,Moita
4102_0_1,10,90069,Moita
4102_0_1,11,90071,Moita
4102_0_1,12,90073,Moita
4102_0_1,13,90076,Moita
4102_0_1,14,90077,Moita
4102_0_1,15,90075,Moita
4102_0_1,16,90080,Moita
4102_0_1,17,90081,Moita
4102_0_1,18,90083,Moita
4102_0_1,19,90109,Moita
4102_0_2,1,90109,Moita
4102_0_2,2,90084,Moita
4102_0_2,3,90082,Moita
4102_0_2,4,90079,Moita
4102_0_2,5,90073,Moita
4102_0_2,6,90076,Moita
4102_0_2,7,90077,Moita
4102_0_2,8,90075,Moita
4102_0_2,9,90087,Moita
4102_0_2,10,90089,Moita
4102_0_2,11,90091,Moita
4102_0_2,12,90093,Moita
4102_0_2,13,90065,Moita
4102_0_2,14,90063,Moita
4102_0_2,15,90095,Moita
4102_0_2,16,90059,Moita
4102_0_2,17,90057,Moita
4102_0_2,18,90055,Moita
4102_0_2,19,90097,Moita
4102_0_2,20,90053,Moita
4102_0_2,21,90052,Moita
4103_0_1,1,90052,Moita
4103_0_1,2,90054,Moita
4103_0_1,3,90056,Moita
4103_0_1,4,90058,Moita
4103_0_1,5,90060,Moita
4103_0_1,6,90100,Moita
4103_0_1,7,90102,Moita
4103_0_1,8,90104,Moita
4103_0_1,9,90106,Moita
4103_0_1,10,90108,Moita
4103_0_1,11,90110,Moita
4103_0_1,12,90112,Moita
4103_0_2,1,90111,Moita
4103_0_2,2,90109,Moita
4103_0_2,3,90107,Moita
4103_0_2,4,90105,Moita
4103_0_2,5,90103,Moita
4103_0_2,6,90101,Moita
4103_0_2,7,90099,Moita
4103_0_2,8,90059,Moita
4103_0_2,9,90057,Moita
4103_0_2,10,90055,Moita
4103_0_2,11,90097,Moita
4103_0_2,12,90053,Moita
4103_0_2,13,90052,Moita
4104_0_3,1,90051,Moita
4104_0_3,2,90054,Moita
4104_0_3,3,90113,Moita
4104_0_3,4,90115,Moita
4104_0_3,5,90117,Moita
4104_0_3,6,90060,Moita
4104_0_3,7,90061,Moita
4104_0_3,8,90095,Moita
4104_0_3,9,90100,Moita
4104_0_3,10,90119,Moita
4104_0_3,11,90121,Moita
4104_0_3,12,90123,Moita
4104_0_3,13,90125,Moita
4104_0_3,14,90167,Moita
4104_0_3,15,90129,Moita
4104_0_3,16,90131,Moita
4104_0_3,17,90134,Moita
4104_0_3,18,90135,Moita
4104_0_3,19,90053,Moita
4104_0_3,20,90051,Moita
4201_0_1,1,100002,Montijo
4201_0_1,2,100003,Montijo
4201_0_1,3,100006,Montijo
4201_0_1,4,100008,Montijo
4201_0_1,5,100009,Montijo
4201_0_1,6,100011,Montijo
4201_0_1,7,100013,Montijo
4201_0_1,8,100016,Montijo
4201_0_1,9,100017,Montijo
4201_0_1,10,100019,Montijo
4201_0_1,11,100022,Montijo
4201_0_2,1,100021,Montijo
4201_0_2,2,100023,Montijo
4201_0_2,3,100025,Montijo
4201_0_2,4,100015,Montijo
4201_0_2,5,100027,Montijo
4201_0_2,6,100029,Montijo
4201_0_2,7,100031,Montijo
4201_0_2,8,100033,Montijo
4201_0_2,9,100007,Montijo
4201_0_2,10,100005,Montijo
4201_0_2,11,100004,Montijo
4201_0_2,12,100001,Montijo
4202_0_1,1,100001,Montijo
4202_0_1,2,100035,Montijo
4202_0_1,3,100037,Montijo
4202_0_1,4,100038,Montijo
4202_0_1,5,100039,Montijo
4202_0_1,6,100041,Montijo
4202_0_1,7,100044,Montijo
4202_0_1,8,100046,Montijo
4202_0_1,9,100047,Montijo
4202_0_1,10,100049,Montijo
4202_0_1,11,100051,Montijo
4202_0_1,12,100053,Montijo
4202_0_1,13,100056,Montijo
4202_0_1,14,100058,Montijo
4202_0_1,15,100059,Montijo
4202_0_1,16,100061,Montijo
4202_0_1,17,100063,Montijo
4202_0_1,18,100066,Montijo
4202_0_1,19,100067,Montijo
4202_0_1,20,100069,Montijo
4202_0_1,21,100071,Montijo
4202_0_1,22,100073,Montijo
4202_0_1,23,100075,Montijo
4202_0_1,24,100077,Montijo
4202_0_1,25,100079,Montijo
4202_0_1,26,100011,Montijo
4202_0_1,27,100027,Montijo
4202_0_1,28,100081,Montijo
4202_0_1,29,100083,Montijo
4202_0_1,30,100085,Montijo
4202_0_1,31,100087,Montijo
4202_0_1,32,100090,Montijo
4202_0_2,1,100089,Montijo
4202_0_2,2,100088,Montijo
4202_0_2,3,100091,Montijo
4202_0_2,4,100093,Montijo
4202_0_2,5,100095,Montijo
4202_0_2,6,100027,Montijo
4202_0_2,7,100029,Montijo
4202_0_2,8,100031,Montijo
4202_0_2,9,100033,Montijo
4202_0_2,10,100097,Montijo
4202_0_2,11,100099,Montijo
4202_0_2,12,100074,Montijo
4202_0_2,13,100101,Montijo
4202_0_2,14,100071,Montijo
4202_0_2,15,100103,Montijo
4202_0_2,16,100105,Montijo
4202_0_2,17,100107,Montijo
4202_0_2,18,100109,Montijo
4202_0_2,19,100068,Montijo
4202_0_2,20,100065,Montijo
4202_0_2,21,100064,Montijo
4202_0_2,22,100061,Montijo
4202_0_2,23,100059,Montijo
4202_0_2,24,100057,Montijo
4202_0_2,25,100055,Montijo
4202_0_2,26,100111,Montijo
4202_0_2,27,100113,Montijo
4202_0_2,28,100050,Montijo
4202_0_2,29,100048,Montijo
4202_0_2,30,100045,Montijo
4202_0_2,31,100043,Montijo
4202_0_2,32,100042,Montijo
4202_0_2,33,100040,Montijo
4202_0_2,34,100115,Montijo
4202_0_2,35,100001,Montijo
4203_0_1,1,100001,Montijo
4203_0_1,2,100035,Montijo
4203_0_1,3,100037,Montijo
4203_0_1,4,100038,Montijo
4203_0_1,5,100039,Montijo
4203_0_1,6,100041,Montijo
4203_0_1,7,100044,Montijo
4203_0_1,8,100046,Montijo
4203_0_1,9,100047,Montijo
4203_0_1,10,100049,Montijo
4203_0_1,11,100051,Montijo
4203_0_1,12,100053,Montijo
4203_0_1,13,100056,Montijo
4203_0_1,14,100058,Montijo
4203_0_1,15,100059,Montijo
4203_0_1,16,100061,Montijo
4203_0_1,17,100063,Montijo
4203_0_1,18,100066,Montijo
4203_0_1,19,100067,Montijo
4203_0_1,20,100069,Montijo
4203_0_1,21,100071,Montijo
4203_0_1,22,100117,Montijo
4203_0_1,23,100021,Montijo
4203_0_1,24,100023,Montijo
4203_0_1,25,100025,Montijo
4203_0_1,26,100015,Montijo
4203_0_1,27,100027,Montijo
4203_0_1,28,100081,Montijo
4203_0_1,29,100094,Montijo
4203_0_1,30,100120,Montijo
4203_0_1,31,100121,Montijo
4203_0_1,32,100123,Montijo
4203_0_1,33,100125,Montijo
4203_0_1,34,100127,Montijo
4203_0_1,35,100087,Montijo
4203_0_1,36,100090,Montijo
4203_0_1,37,100129,Montijo
4203_0_1,38,100132,Montijo
4203_0_1,39,100134,Montijo
4203_0_1,40,100136,Montijo
4203_0_1,41,100140,Montijo
4203_0_2,1,100140,Montijo
4203_0_2,2,100135,Montijo
4203_0_2,3,100133,Montijo
4203_0_2,4,100131,Montijo
4203_0_2,5,100130,Montijo
4203_0_2,6,100089,Montijo
4203_0_2,7,100088,Montijo
4203_0_2,8,100139,Montijo
4203_0_2,9,100126,Montijo
4203_0_2,10,100124,Montijo
4203_0_2,11,100122,Montijo
4203_0_2,12,100119,Montijo
4203_0_2,13,100093,Montijo
4203_0_2,14,100141,Montijo
4203_0_2,15,100143,Montijo
4203_0_2,16,100027,Montijo
4203_0_2,17,100016,Montijo
4203_0_2,18,100017,Montijo
4203_0_2,19,100019,Montijo
4203_0_2,20,100022,Montijo
4203_0_2,21,100118,Montijo
4203_0_2,22,100071,Montijo
4203_0_2,23,100103,Montijo
4203_0_2,24,100107,Montijo
4203_0_2,25,100068,Montijo
4203_0_2,26,100065,Montijo
4203_0_2,27,100064,Montijo
4203_0_2,28,100061,Montijo
4203_0_2,29,100059,Montijo
4203_0_2,30,100057,Montijo
4203_0_2,31,100055,Montijo
