pattern_id,stop_sequence,stop_id,zones
3001_0_1,1,20009,Almada
3001_0_1,2,20012,Almada
3001_0_1,3,20013,Almada
3001_0_1,4,20015,Almada
3001_0_1,5,20017,Almada
3001_0_1,6,20019,Almada
3001_0_1,7,20021,Almada
3001_0_1,8,20023,Almada
3001_0_1,9,20028,Almada
3001_0_1,10,20029,Almada
3001_0_1,11,20031,Almada
3001_0_1,12,20033,Almada
3001_0_1,13,20035,Almada
3001_0_1,14,20037,Almada
3001_0_2,1,20037,Almada
3001_0_2,2,20039,Almada
3001_0_2,3,20041,Almada
3001_0_2,4,20043,Almada
3001_0_2,5,20045,Almada
3001_0_2,6,20047,Almada
3001_0_2,7,20049,Almada
3001_0_2,8,20051,Almada
3001_0_2,9,20054,Almada
3001_0_2,10,20055,Almada
3001_0_2,11,20014,Almada
3001_0_2,12,20011,Almada
3001_0_2,13,20009,Almada
3002_0_1,1,20057,Almada
3002_0_1,2,20059,Almada
3002_0_1,3,20061,Almada
3002_0_1,4,20063,Almada
3002_0_1,5,20066,Almada
3002_0_1,6,20067,Almada
3002_0_1,7,29004,Almada
3002_0_1,8,20069,Almada
3002_0_1,9,20071,Almada
3002_0_1,10,20073,Almada
3002_0_2,1,20073,Almada
3002_0_2,2,20075,Almada
3002_0_2,3,20077,Almada
3002_0_2,4,20079,Almada
3002_0_2,5,20081,Almada
3002_0_2,6,20064,Almada
3002_0_2,7,20083,Almada
3002_0_2,8,20085,Almada
3002_0_2,9,20057,Almada
3003_0_1,1,20088,Almada
3003_0_1,2,20090,Almada
3003_0_1,3,20091,Almada
3003_0_1,4,20093,Almada
3003_0_1,5,20096,Almada
3003_0_1,6,20097,Almada
3003_0_1,7,20099,Almada
3003_0_1,8,20101,Almada
3003_0_1,9,20103,Almada
3003_0_1,10,20105,Almada
3003_0_1,11,20107,Almada
3003_0_1,12,20057,Almada
3003_0_1,13,20109,Almada
3003_0_1,14,20112,Almada
3003_0_1,15,20031,Almada
3003_0_1,16,20033,Almada
3003_0_1,17,20035,Almada
3003_0_1,18,20113,Almada
3003_0_2,1,20113,Almada
3003_0_2,2,20039,Almada
3003_0_2,3,20041,Almada
3003_0_2,4,20115,Almada
3003_0_2,5,20111,Almada
3003_0_2,6,20110,Almada
3003_0_2,7,20058,Almada
3003_0_2,8,20117,Almada
3003_0_2,9,20106,Almada
3003_0_2,10,20104,Almada
3003_0_2,11,20119,Almada
3003_0_2,12,20100,Almada
3003_0_2,13,20098,Almada
3003_0_2,14,20095,Almada
3003_0_2,15,20094,Almada
3003_0_2,16,20092,Almada
3003_0_2,17,20089,Almada
3003_0_2,18,20088,Almada
3004_0_1,1,20088,Almada
3004_0_1,2,20121,Almada
3004_0_1,3,20124,Almada
3004_0_1,4,20125,Almada
3004_0_1,5,20128,Almada
3004_0_1,6,20129,Almada
3004_0_1,7,20132,Almada
3004_0_1,8,20134,Almada
3004_0_1,9,20135,Almada
3004_0_1,10,20138,Almada
3004_0_1,11,20140,Almada
3004_0_1,12,20141,Almada
3004_0_1,13,20144,Almada
3004_0_1,14,20146,Almada
3004_0_1,15,20147,Almada
3004_0_1,16,20149,Almada
3004_0_1,17,20151,Almada
3004_0_1,18,20154,Almada
3004_0_1,19,20155,Almada
3004_0_1,20,20158,Almada
3004_0_1,21,20160,Almada
3004_0_1,22,20161,Almada
3004_0_1,23,20163,Almada
3004_0_1,24,20165,Almada
3004_0_1,25,20183,Almada
3004_0_1,26,20414,Almada
3004_0_1,27,20415,Almada
3004_0_1,28,20418,Almada
3004_0_1,29,20952,Almada
3004_0_1,30,20167,Almada
3004_0_1,31,20170,Almada
3004_0_1,32,20172,Almada
3004_0_1,33,20174,Almada
3004_0_1,34,20176,Almada
3004_0_1,35,20177,Almada
3004_0_1,36,20180,Almada
3004_0_1,37,20181,Almada
3004_0_2,1,20181,Almada
3004_0_2,2,20179,Almada
3004_0_2,3,20178,Almada
3004_0_2,4,20175,Almada
3004_0_2,5,20173,Almada
3004_0_2,6,20171,Almada
3004_0_2,7,20169,Almada
3004_0_2,8,20168,Almada
3004_0_2,9,20951,Almada
3004_0_2,10,20417,Almada
3004_0_2,11,20416,Almada
3004_0_2,12,20413,Almada
3004_0_2,13,20184,Almada
3004_0_2,14,20166,Almada
3004_0_2,15,20164,Almada
3004_0_2,16,20187,Almada
3004_0_2,17,20189,Almada
3004_0_2,18,20157,Almada
3004_0_2,19,20156,Almada
3004_0_2,20,20153,Almada
3004_0_2,21,20191,Almada
3004_0_2,22,20150,Almada
3004_0_2,23,20193,Almada
3004_0_2,24,20145,Almada
3004_0_2,25,20143,Almada
3004_0_2,26,20142,Almada
3004_0_2,27,20139,Almada
3004_0_2,28,20137,Almada
3004_0_2,29,20195,Almada
3004_0_2,30,20136,Almada
3004_0_2,31,20133,Almada
3004_0_2,32,20131,Almada
3004_0_2,33,20130,Almada
3004_0_2,34,20127,Almada
3004_0_2,35,20123,Almada
3004_0_2,36,20197,Almada
3004_0_2,37,20088,Almada
3006_0_1,1,20223,Almada
3006_0_1,2,20226,Almada
3006_0_1,3,20227,Almada
3006_0_1,4,20230,Almada
3006_0_1,5,20232,Almada
3006_0_1,6,20181,Almada
3006_0_1,7,20233,Almada
3006_0_1,8,20235,Almada
3006_0_1,9,20238,Almada
3006_0_1,10,20240,Almada
3006_0_1,11,20241,Almada
3006_0_1,12,20243,Almada
3006_0_1,13,20228,Almada
3006_0_1,14,20225,Almada
3006_0_1,15,20245,Almada
3006_0_1,16,20223,Almada
3006_0_2,1,20223,Almada
3006_0_2,2,20226,Almada
3006_0_2,3,20227,Almada
3006_0_2,4,20244,Almada
3006_0_2,5,20242,Almada
3006_0_2,6,20239,Almada
3006_0_2,7,20237,Almada
3006_0_2,8,20247,Almada
3006_0_2,9,20249,Almada
3006_0_2,10,20251,Almada
3006_0_2,11,20182,Almada
3006_0_2,12,20231,Almada
3006_0_2,13,20229,Almada
3006_0_2,14,20228,Almada
3006_0_2,15,20225,Almada
3006_0_2,16,20245,Almada
3006_0_2,17,20223,Almada
3007_0_1,1,20254,Almada
3007_0_1,2,20255,Almada
3007_0_1,3,20258,Almada
3007_0_1,4,20260,Almada
3007_0_1,5,20262,Almada
3007_0_1,6,20263,Almada
3007_0_1,7,20255,Almada
3007_0_1,8,20265,Almada
3007_0_1,9,20268,Almada
3007_0_1,10,20269,Almada
3007_0_1,11,20272,Almada
3007_0_1,12,20273,Almada
3007_0_1,13,20275,Almada
3007_0_1,14,20277,Almada
3007_0_1,15,20279,Almada
3007_0_1,16,21062,Almada
3007_0_1,17,20282,Almada
3007_0_1,18,20283,Almada
3007_0_1,19,20285,Almada
3007_0_1,20,20101,Almada
3007_0_1,21,20103,Almada
3007_0_1,22,20105,Almada
3007_0_1,23,20107,Almada
3007_0_1,24,20057,Almada
3007_0_1,25,20109,Almada
3007_0_1,26,20112,Almada
3007_0_1,27,20031,Almada
3007_0_1,28,20033,Almada
3007_0_1,29,20035,Almada
3007_0_1,30,20113,Almada
3007_0_2,1,20113,Almada
3007_0_2,2,20039,Almada
3007_0_2,3,20041,Almada
3007_0_2,4,20115,Almada
3007_0_2,5,20111,Almada
3007_0_2,6,20110,Almada
3007_0_2,7,20058,Almada
3007_0_2,8,20117,Almada
3007_0_2,9,20106,Almada
3007_0_2,10,20104,Almada
3007_0_2,11,20119,Almada
3007_0_2,12,20100,Almada
3007_0_2,13,20287,Almada
3007_0_2,14,20284,Almada
3007_0_2,15,20281,Almada
3007_0_2,16,21063,Almada
3007_0_2,17,20280,Almada
3007_0_2,18,20290,Almada
3007_0_2,19,20291,Almada
3007_0_2,20,20276,Almada
3007_0_2,21,20293,Almada
3007_0_2,22,20271,Almada
3007_0_2,23,20295,Almada
3007_0_2,24,20266,Almada
3007_0_2,25,20256,Almada
3007_0_2,26,20264,Almada
3007_0_2,27,20261,Almada
3007_0_2,28,20259,Almada
3007_0_2,29,20257,Almada
3007_0_2,30,20256,Almada
3007_0_2,31,20253,Almada
3008_0_1,1,20298,Almada
3008_0_1,2,20299,Almada
3008_0_1,3,20302,Almada
3008_0_1,4,20304,Almada
3008_0_1,5,20305,Almada
3008_0_1,6,20308,Almada
3008_0_1,7,20309,Almada
3008_0_1,8,20311,Almada
3008_0_1,9,20314,Almada
3008_0_1,10,20315,Almada
3008_0_1,11,20317,Almada
3008_0_1,12,20319,Almada
3008_0_1,13,20321,Almada
3008_0_1,14,20323,Almada
3008_0_1,15,20325,Almada
3008_0_1,16,20328,Almada
3008_0_1,17,20329,Almada
3008_0_1,18,20348,Almada
3008_0_1,19,20186,Almada
3008_0_1,20,20332,Almada
3008_0_1,21,20333,Almada
3008_0_1,22,20336,Almada
3008_0_1,23,20338,Almada
3008_0_1,24,20339,Almada
3008_0_1,25,20342,Almada
3008_0_1,26,20344,Almada
3008_0_1,27,20345,Almada
3008_0_1,28,20883,Almada
3008_0_2,1,20884,Almada
3008_0_2,2,20346,Almada
3008_0_2,3,20343,Almada
3008_0_2,4,20341,Almada
3008_0_2,5,20340,Almada
3008_0_2,6,20337,Almada
3008_0_2,7,20335,Almada
3008_0_2,8,20334,Almada
3008_0_2,9,20331,Almada
3008_0_2,10,20185,Almada
3008_0_2,11,20347,Almada
3008_0_2,12,20327,Almada
3008_0_2,13,20349,Almada
3008_0_2,14,20351,Almada
3008_0_2,15,20322,Almada
3008_0_2,16,20355,Almada
3008_0_2,17,20357,Almada
3008_0_2,18,20359,Almada
3008_0_2,19,20310,Almada
3008_0_2,20,20361,Almada
3008_0_2,21,20306,Almada
3008_0_2,22,20303,Almada
3008_0_2,23,20301,Almada
3008_0_2,24,20300,Almada
3008_0_2,25,20298,Almada
3009_0_1,1,20363,Almada
3009_0_1,2,20039,Almada
3009_0_1,3,20041,Almada
3009_0_1,4,20043,Almada
3009_0_1,5,20045,Almada
3009_0_1,6,20047,Almada
3009_0_1,7,20061,Almada
3009_0_1,8,20366,Almada
3009_0_1,9,29807,Almada
3009_0_1,10,20280,Almada
3009_0_1,11,20290,Almada
3009_0_1,12,20291,Almada
3009_0_1,13,20276,Almada
3009_0_1,14,21002,Almada
3009_0_1,15,21004,Almada
3009_0_1,16,21005,Almada
3009_0_1,17,20256,Almada
3009_0_1,18,20253,Almada
3009_0_1,19,20308,Almada
3009_0_1,20,20309,Almada
3009_0_1,21,20311,Almada
3009_0_1,22,20314,Almada
3009_0_1,23,20369,Almada
3009_0_1,24,20371,Almada
3009_0_1,25,20373,Almada
3009_0_1,26,20376,Almada
3009_0_1,27,20377,Almada
3009_0_1,28,20380,Almada
3009_0_1,29,20381,Almada
3009_0_1,30,20383,Almada
3009_0_1,31,20385,Almada
3009_0_2,1,20385,Almada
3009_0_2,2,20387,Almada
3009_0_2,3,20389,Almada
3009_0_2,4,20379,Almada
3009_0_2,5,20378,Almada
3009_0_2,6,20375,Almada
3009_0_2,7,20391,Almada
3009_0_2,8,20393,Almada
3009_0_2,9,20396,Almada
3009_0_2,10,20315,Almada
3009_0_2,11,20317,Almada
3009_0_2,12,20359,Almada
3009_0_2,13,20310,Almada
3009_0_2,14,20361,Almada
3009_0_2,15,20254,Almada
3009_0_2,16,20255,Almada
3009_0_2,17,21006,Almada
3009_0_2,18,21003,Almada
3009_0_2,19,21001,Almada
3009_0_2,20,20275,Almada
3009_0_2,21,20277,Almada
3009_0_2,22,20279,Almada
3009_0_2,23,29806,Almada
3009_0_2,24,20365,Almada
3009_0_2,25,20083,Almada
3009_0_2,26,20399,Almada
3009_0_2,27,20401,Almada
3009_0_2,28,20031,Almada
3009_0_2,29,20033,Almada
3009_0_2,30,20035,Almada
3009_0_2,31,20363,Almada
3011_0_1,1,20429,Almada
3011_0_1,2,20039,Almada
3011_0_1,3,20041,Almada
3011_0_1,4,20199,Almada
3011_0_1,5,20115,Almada
3011_0_1,6,20111,Almada
3011_0_1,7,20110,Almada
3011_0_1,8,20058,Almada
3011_0_1,9,20117,Almada
3011_0_1,10,20106,Almada
3011_0_1,11,20104,Almada
3011_0_1,12,20119,Almada
3011_0_1,13,20100,Almada
3011_0_1,14,20071,Almada
3011_0_1,15,20431,Almada
3011_0_1,16,20433,Almada
3011_0_1,17,20435,Almada
3011_0_1,18,20733,Almada
3011_0_1,19,20703,Almada
3011_0_1,20,20663,Almada
3011_0_1,21,20735,Almada
3011_0_2,1,20735,Almada
3011_0_2,2,20639,Almada
3011_0_2,3,20445,Almada
3011_0_2,4,20447,Almada
3011_0_2,5,20072,Almada
3011_0_2,6,20099,Almada
3011_0_2,7,20101,Almada
3011_0_2,8,20103,Almada
3011_0_2,9,20105,Almada
3011_0_2,10,20107,Almada
3011_0_2,11,20057,Almada
3011_0_2,12,20109,Almada
3011_0_2,13,20112,Almada
3011_0_2,14,20031,Almada
3011_0_2,15,20033,Almada
3011_0_2,16,20035,Almada
3011_0_2,17,20449,Almada
3011_1_1,1,20429,Almada
3011_1_1,2,20039,Almada
3011_1_1,3,20041,Almada
3011_1_1,4,20199,Almada
3011_1_1,5,20115,Almada
3011_1_1,6,20111,Almada
3011_1_1,7,20110,Almada
3011_1_1,8,20058,Almada
3011_1_1,9,20117,Almada
3011_1_1,10,20106,Almada
3011_1_1,11,20104,Almada
3011_1_1,12,20119,Almada
3011_1_1,13,20100,Almada
3011_1_1,14,20071,Almada
3011_1_1,15,20431,Almada
3011_1_1,16,20433,Almada
3011_1_1,17,20435,Almada
3011_1_1,18,20451,Almada
3011_1_1,19,20454,Almada
3011_1_1,20,20455,Almada
3011_1_1,21,20457,Almada
3011_1_1,22,20459,Almada
3011_1_1,23,20462,Almada
3011_1_1,24,20463,Almada
3011_1_1,25,20465,Almada
3011_1_1,26,20453,Almada
3011_1_1,27,20452,Almada
3011_1_1,28,20733,Almada
3011_1_1,29,20703,Almada
3011_1_1,30,20663,Almada
3011_1_1,31,20735,Almada
3011_1_2,1,20735,Almada
3011_1_2,2,20639,Almada
3011_1_2,3,20451,Almada
3011_1_2,4,20454,Almada
3011_1_2,5,20469,Almada
3011_1_2,6,20471,Almada
3011_1_2,7,20461,Almada
3011_1_2,8,20460,Almada
3011_1_2,9,20458,Almada
3011_1_2,10,20456,Almada
3011_1_2,11,20453,Almada
3011_1_2,12,20452,Almada
3011_1_2,13,20445,Almada
3011_1_2,14,20447,Almada
3011_1_2,15,20072,Almada
3011_1_2,16,20099,Almada
3011_1_2,17,20101,Almada
3011_1_2,18,20103,Almada
3011_1_2,19,20105,Almada
3011_1_2,20,20107,Almada
3011_1_2,21,20057,Almada
3011_1_2,22,20109,Almada
3011_1_2,23,20112,Almada
3011_1_2,24,20031,Almada
3011_1_2,25,20033,Almada
3011_1_2,26,20035,Almada
3011_1_2,27,20449,Almada
3012_0_1,1,20403,Almada
3012_0_1,2,20039,Almada
3012_0_1,3,20041,Almada
3012_0_1,4,20043,Almada
3012_0_1,5,20045,Almada
3012_0_1,6,20047,Almada
3012_0_1,7,20061,Almada
3012_0_1,8,20405,Almada
3012_0_1,9,20407,Almada
3012_0_1,10,20290,Almada
3012_0_1,11,20291,Almada
3012_0_1,12,20276,Almada
3012_0_1,13,20075,Almada
3012_0_1,14,20309,Almada
3012_0_1,15,20311,Almada
3012_0_1,16,20314,Almada
3012_0_1,17,20315,Almada
3012_0_1,18,20317,Almada
3012_0_1,19,20319,Almada
3012_0_1,20,20555,Almada
3012_0_1,21,20321,Almada
3012_0_1,22,20323,Almada
3012_0_1,23,20325,Almada
3012_0_1,24,20328,Almada
3012_0_1,25,20329,Almada
3012_0_1,26,20348,Almada
3012_0_1,27,20186,Almada
3012_0_1,28,20332,Almada
3012_0_1,29,20333,Almada
3012_0_1,30,20412,Almada
3012_0_1,31,20414,Almada
3012_0_1,32,20415,Almada
3012_0_1,33,20418,Almada
3012_0_1,34,20338,Almada
3012_0_1,35,20339,Almada
3012_0_1,36,20342,Almada
3012_0_1,37,20344,Almada
3012_0_1,38,20419,Almada
3012_0_1,39,20422,Almada
3012_0_1,40,20177,Almada
3012_0_1,41,20180,Almada
3012_0_1,42,20474,Almada
3012_0_1,43,20475,Almada
3012_0_1,44,20478,Almada
3012_0_1,45,20479,Almada
3012_0_1,46,20482,Almada
3012_0_1,47,20484,Almada
3012_0_1,48,20800,Almada
3012_0_2,1,20800,Almada
3012_0_2,2,20487,Almada
3012_0_2,3,20481,Almada
3012_0_2,4,20480,Almada
3012_0_2,5,20477,Almada
3012_0_2,6,20476,Almada
3012_0_2,7,20473,Almada
3012_0_2,8,20179,Almada
3012_0_2,9,20178,Almada
3012_0_2,10,20421,Almada
3012_0_2,11,20423,Almada
3012_0_2,12,20343,Almada
3012_0_2,13,20341,Almada
3012_0_2,14,20340,Almada
3012_0_2,15,20337,Almada
3012_0_2,16,20417,Almada
3012_0_2,17,20416,Almada
3012_0_2,18,20413,Almada
3012_0_2,19,20411,Almada
3012_0_2,20,20334,Almada
3012_0_2,21,20331,Almada
3012_0_2,22,20185,Almada
3012_0_2,23,20347,Almada
3012_0_2,24,20349,Almada
3012_0_2,25,20351,Almada
3012_0_2,26,20322,Almada
3012_0_2,27,20555,Almada
3012_0_2,28,20355,Almada
3012_0_2,29,20357,Almada
3012_0_2,30,20359,Almada
3012_0_2,31,20310,Almada
3012_0_2,32,20361,Almada
3012_0_2,33,20397,Almada
3012_0_2,34,20275,Almada
3012_0_2,35,20277,Almada
3012_0_2,36,20425,Almada
3012_0_2,37,20427,Almada
3012_0_2,38,20083,Almada
3012_0_2,39,20399,Almada
3012_0_2,40,20401,Almada
3012_0_2,41,20031,Almada
3012_0_2,42,20033,Almada
3012_0_2,43,20035,Almada
3012_0_2,44,20403,Almada
3012_1_1,1,20403,Almada
3012_1_1,2,20039,Almada
3012_1_1,3,20041,Almada
3012_1_1,4,20043,Almada
3012_1_1,5,20045,Almada
3012_1_1,6,20047,Almada
3012_1_1,7,20061,Almada
3012_1_1,8,20405,Almada
3012_1_1,9,20407,Almada
3012_1_1,10,20290,Almada
3012_1_1,11,20291,Almada
3012_1_1,12,20276,Almada
3012_1_1,13,20075,Almada
3012_1_1,14,20309,Almada
3012_1_1,15,20311,Almada
3012_1_1,16,20314,Almada
3012_1_1,17,20315,Almada
3012_1_1,18,20317,Almada
3012_1_1,19,20319,Almada
3012_1_1,20,20555,Almada
3012_1_1,21,20321,Almada
3012_1_1,22,20323,Almada
3012_1_1,23,20325,Almada
3012_1_1,24,20328,Almada
3012_1_1,25,20329,Almada
3012_1_1,26,20348,Almada
3012_1_1,27,20186,Almada
3012_1_1,28,20332,Almada
3012_1_1,29,20333,Almada
3012_1_1,30,20412,Almada
3012_1_1,31,20414,Almada
3012_1_1,32,20415,Almada
3012_1_1,33,20418,Almada
3012_1_1,34,20338,Almada
3012_1_1,35,20339,Almada
3012_1_1,36,20342,Almada
3012_1_1,37,20344,Almada
3012_1_1,38,20419,Almada
3012_1_1,39,20422,Almada
3012_1_1,40,20177,Almada
3012_1_1,41,20180,Almada
3012_1_2,1,20179,Almada
3012_1_2,2,20178,Almada
3012_1_2,3,20421,Almada
3012_1_2,4,20423,Almada
3012_1_2,5,20343,Almada
3012_1_2,6,20341,Almada
3012_1_2,7,20340,Almada
3012_1_2,8,20337,Almada
3012_1_2,9,20417,Almada
3012_1_2,10,20416,Almada
3012_1_2,11,20413,Almada
3012_1_2,12,20411,Almada
3012_1_2,13,20334,Almada
3012_1_2,14,20331,Almada
3012_1_2,15,20185,Almada
3012_1_2,16,20347,Almada
3012_1_2,17,20349,Almada
3012_1_2,18,20351,Almada
3012_1_2,19,20322,Almada
3012_1_2,20,20555,Almada
3012_1_2,21,20355,Almada
3012_1_2,22,20357,Almada
3012_1_2,23,20359,Almada
3012_1_2,24,20310,Almada
3012_1_2,25,20361,Almada
3012_1_2,26,20397,Almada
3012_1_2,27,20275,Almada
3012_1_2,28,20277,Almada
3012_1_2,29,20425,Almada
3012_1_2,30,20427,Almada
3012_1_2,31,20083,Almada
