code,new_name
130488,"Rua do Patola (X) Rua Pedro Álvares Cabral"
130505,"Rio Frio"
130513,"Estrada Municípal 533 (Terreno Agrícola)"
130548,"Rua da Escola (X) Rua dos Comerciantes"
130555,"Frente Escola Básica de Palhota"
130569,"Estrada Municípal 533 (Escola)"
130571,"Aceiro José Camarinho (X) Aceiro Escola da Carregueira"
130600,"Estrada Nacional 379 (Frente Campo Aventura)"
130659,"Avenida Padre Nabeto (Frente Quinta Fidalgo)"
130660,"Avenida Padre Nabeto (Quinta Fidalgo)"
130690,"Quinta da Marquesa (Vivenda das Rosas)"
130693,"Avenida António Xavier de Lima (X) Avenida de Moçambique"
130694,"Avenida António Xavier de Lima (X) Estrada Vila Amélia"
130696,"Estrada Vila Amélia (Restaurante)"
130697,"International School of Palmela"
130698,"Frente International School of Palmela"
130700,"Estrada Vila Amélia Frente (X) Rua do Vidro"
130803,"Palmela (Terminal) P3"
130804,"Palmela (Terminal) P4"
130806,"Palmela (Terminal) P6"
130807,"Palmela (Terminal) P7"
130812,"Rua da Serrinha (Restaurante)"
130813,"Estrada Circular Norte Lote 219"
130814,"Estrada Circular Norte 231"
140077,"Escola Secundária Doutor José Afonso"
140081,"Rua da Sociedade Filarmónica União Arrentelense 5"
149000,"Festa do Avante (Supermercado)"
150003,"Estrada Nacional 10 (Parque da Vila)"
150058,"Avenida Costa Azul (Frente Aldeamento Turístico)"
150075,"Avenida Sérgio Vieira de Mello (Supermercado)"
150076,"Avenida Sérgio Vieira de Mello (Frente Supermercado)"
160028,"Avenida Dom João II (Escola)"
160029,"Avenida Dom João II (Praça de Touros)"
160067,"Avenida dos Ciprestes (ITS) P1"
160068,"Avenida dos Ciprestes (ITS) P2"
160095,"Avenida dos Ciprestes (ITS) P3"
160099,"Avenida 22 de Dezembro Frente 74"
160105,"Avenida 22 de Dezembro 52"
160123,"Avenida Alexandre Herculano (Escola) P1"
160127,"Estrada Nacional 10 59"
160139,"Avenida 5 de Outubro 31"
160141,"Avenida Manuel Maria Portela Frente 77"
160159,"Avenida Luísa Todi 281"
160161,"Avenida Luísa Todi (Mercado)"
160183,"Avenida das Descobertas Lote 9"
160201,"Avenida dos Ciprestes 54"
160209,"Alameda do Pinheiro 65"
160213,"Rua Almeida Garret Frente 9"
160220,"Avenida do Alentejo Frente 6"
160225,"Avenida Luísa Todi (Largo do Carmo)"
160229,"Avenida Bela Vista (Supermercado)"
160242,"Avenida Fernando Lopes Graça (Espaço Comercial)"
160253,"Avenida General Daniel de Sousa 11"
160254,"Avenida General Daniel de Sousa (Posto Combustíveis)"
160297,"Centro Comercial (Porta da Baía)"
160322,"Estrada Municípal 1125 (Posto de Combustível)"
160327,"Hospital Ortopédico Santiago do Outão"
160366,"Estrada Nacional 10 (Casal Cramual)"
160368,"Estrada Nacional 10 (X) Estrada dos Picheleiro"
160407,"Avenida Luísa Todi (Farmácia)"
160411,"Rua Gama Braga 31"
160426,"Avenida dos Ciprestes 112"
160433,"Avenida General Daniel de Sousa Frente 4"
160434,"Avenida General Daniel de Sousa 4"
160455,"Avenida dos Ciprestes Frente 148"
160456,"Avenida dos Ciprestes 144"
160464,"Rua Vidais Frente 54"
160480,"Avenida Baía de Setúbal (Frente Estaleiros)"
