school_id,school_name,coordinates_lat,coordinates_lon
200098,"Escola Básica de A-das-Lebres, Loures",38.852917,-9.1672815
200116,"Escola Básica de A-dos-Bispos, Vila Franca de Xira",38.9525268,-9.0136425
200578,"Escola Básica de Foros da Craveira do Norte, Afonsos, Montijo",38.7043344,-8.954516
200840,"Escola Básica de Aiana de Cima, Sesimbra",38.4741841,-9.1409223
201698,"Escola Básica de Aldeia do Meco, Sesimbra",38.4711464,-9.1697323
202241,"Escola Básica de Algeruz-Lau, Palmela",38.6034019,-8.817577100000001
202332,"Escola Básica de Algueirão, Sintra",38.8048959,-9.339326999999999
202940,"Escola Básica do Alto da Guerra, Setúbal",38.5272041,-8.8852592
203993,"Escola Básica n.º 1 de Apelação, Loures",38.81698189999999,-9.1363605
204067,"Escola Básica de Arcena, Vila Franca de Xira",38.95461,-9.0000479
205357,"Escola Básica de Novos Trilhos, Atalaia, Montijo",38.7084754,-8.9222831
205977,"Escola Básica de Azoia, Sesimbra",38.4301517,-9.1894726
206246,"Escola Básica do Bairro Alentejano, Palmela",38.56947359999999,-8.8988438
206635,"Escola Básica de Barra Cheia, Moita",38.6083264,-9.0012382
207287,"Escola Básica de Batudes, Palmela",38.6001768,-8.897217699999999
208942,"Jardim de Infância de Brejos, Moita",38.6431427,-8.9918692
208966,"Escola Básica de Brejos do Clérigo, Setúbal",38.5455844,-9.017265499999999
209788,"Escola Básica do Cabo, Vialonga, Vila Franca de Xira",38.87598570000001,-9.072220699999999
210031,"Escola Básica do Cataventos da Paz, Cacilhas, Almada",38.6794817,-9.151187
210195,"Escola Básica de Cajados, Palmela",38.5783043,-8.7644253
212672,"Jardim de Infância do Carvalhinho, Moita",38.64589,-8.9885436
213640,"Jardim de Infância do Casal de Bolinhos, Brejos de Azeitão, Setúbal",38.5389553,-9.0290912
213822,"Escola Básica do Casal do Marco, Seixal",38.6091276,-9.0912357
214255,"Escola Básica de Casaínhos, Loures",38.8275565,-9.174995599999999
214383,"Escola Básica da Quinta de São Sebastião, Castanheira do Ribatejo, Vila Franca de Xira",38.9962657,-8.9736415
216010,"Escola Básica de Chão Duro, Moita",38.6661689,-8.9850684
216770,Centro Educativo Navarro Paiva,38.7422399,-9.1747315
217785,"Escola Básica de Cotovios, Vila Franca de Xira",38.9565377,-9.0395749
219915,"Escola Básica da Freguesia da Encarnação, Encarnação, Mafra",39.0222287,-9.370209
220085,"Escola Básica da Ericeira, Mafra",38.9664255,-9.4058495
221028,"Escola Básica Fausto Cardoso de Figueiredo, Estoril, Cascais",38.7095496,-9.3960072
221363,"Escola Básica de Faião, Sintra",38.8729404,-9.357479699999999
221508,"Escola Básica de Fanhões, Loures",38.88048209999999,-9.1552151
222963,"Escola Básica do Casal do Sapo (Fontainhas), Sesimbra",38.5550489,-9.0812816
223190,"Jardim de Infância de Fonte do Feto, Barreiro",38.6179806,-9.017718499999999
223300,"Escola Básica da Fonte Santa, Almada",38.6678121,-9.2032992
223906,"Escola Básica de Foros do Trapo, Montijo",38.7081178,-8.9563325
224560,"Escola Básica de Frielas, Loures",38.8252083,-9.143280299999999
226440,"Escola Básica de Gâmbia, Setúbal",38.5576766,-8.766790400000001
226579,"Escola Básica da Lançada, Hortinha, Montijo",38.7081178,-8.9563325
228138,"Escola Básica de Jardia, Montijo",38.6649888,-8.924956400000001
228527,"Jardim de Infância de Lagameças, Palmela",38.6135078,-8.7805319
228801,"Escola Básica da Freguesia de Santo Isidoro, Lagoa, Mafra",39.00861889999999,-9.387689499999999
228813,"Escola Básica da Lagoa da Palha, Palmela",38.6368029,-8.878065399999999
229337,"Escola Básica da Freguesia da Carvoeira, Fonte Boa da Brincosa, Mafra",38.9523568,-9.4027543
231174,"Escola Básica da Malveira da Serra, Cascais",38.7536095,-9.4468667
231230,"Escola Básica de Manique, Cascais",38.7349152,-9.368175599999999
231253,"Escola Básica da Manjoeira, Loures",38.8632809,-9.1589803
231277,"Escola Básica de Manteigadas, Setúbal",38.52353129999999,-8.850959
231370,"Escola Básica de Marco Cabaço, Charneca de Caparica, Almada",38.6203107,-9.1931104
234126,"Escola Básica Raul Lino, Cascais",38.7120194,-9.4081469
234291,"Escola Básica de Montelavar, Sintra",38.862488,-9.3319066
234515,"Escola Básica de Montinho da Cotovia, Pontes, Setúbal",38.5453042,-8.8174428
235222,"Escola Básica Samuel Johnson, Murganhal, Oeiras",38.7129234,-9.2719895
235301,"Escola Básica da Murteira, Loures",38.8639164,-9.1927607
236202,"Escola Básica Padre Andrade, Cascais",38.7251445,-9.333070099999999
236238,"Escola Básica da Quinta da Fidalga, Agualva, Sintra",38.7746875,-9.2979758
236287,"Jardim de Infância Cesaltina Fialho Gouveia, Alcabideche, Cascais",38.73468889999999,-9.3912552
236330,"Escola Básica Bruno Nascimento, Alcoitão, Cascais",38.7331508,-9.394227599999999
236354,"Escola Básica n.º 1 de Aldeia do Juso, Cascais",38.729726,-9.4473875
236408,"Escola Básica de Alfeite, Almada",38.6610874,-9.154780800000001
236421,"Escola Básica de Alfragide, Amadora",38.734407,-9.2172114
236445,"Escola Básica do Alto de Algés, Oeiras",38.7087524,-9.2339159
236469,"Escola Básica n.º 1 de Alhos Vedros, Moita",38.6576279,-9.025278499999999
236512,"Escola Básica de Alpriate, Vila Franca de Xira",38.8643177,-9.0932128
236585,"Escola Básica n.º 1 de Alverca do Ribatejo, Vila Franca de Xira",38.9146362,-9.026513999999999
236615,"Escola Básica de Amora, Seixal",38.6288874,-9.116960899999999
