stop_id,stop_name,stop_lat,stop_lon
149995,Seixal-Terminal Fluvial P3,38.647174,-9.096321
150028,QTA CONDE (AV LIBERDADE 24),38.559500,-9.052070
150068,JARDIM,38.462200,-9.102480
150071,ROTUNDA,38.463300,-9.100090
150074,ROTUNDA,38.463500,-9.099280
150089,MAÇÃ (EN 379) PARAGEM ZONA,38.475500,-9.078450
150267,R DA FONTE - PARQ CAMPISMO,38.468100,-9.174730
150302,AV DO ALCAIDE X R DOM JOSÉ,38.498500,-9.156860
150335,LAGOA A (PARQUE) PRAIA,38.507000,-9.180470
150339,PRAIA DO MECO,38.489300,-9.182090
150340,PRAIA DO MECO,38.489300,-9.182080
150414,R SERRA DE MONTE FIGO,38.490400,-9.061360
150442,R. DE PALAMES 61A,38.443482,-9.116061
150499,QTA CONDE R NORTON MATOS (PARQUE),38.565100,-9.037170
150500,QTA CONDE R NORTON MATOS (PARQUE),38.565100,-9.037210
150590,AVª LIBERDADE 1931 - ROTUNDA,38.558900,-9.052110
160033,SETÚBAL (AV D JOÃO II 11),38.530100,-8.877030
160034,SETÚBAL (AV D JOÃO II 11),38.530000,-8.877030
160052,MANTEIGADAS,38.522700,-8.851290
160071,MANTEIGADAS,38.522700,-8.852180
160121,SETÚBAL (R ALMEIDA GARRETT) JARDM BONFIM,38.528200,-8.889990
160154,SETÚBAL (TERMINAL VÁRZEA),38.539500,-8.888000
160155,SETÚBAL (ESTR CIPRESTES) ESTAÇÃO CP,38.531400,-8.885210
160158,KM 39200 - LGO COMBATENTES,38.524900,-8.895190
160181,SETÚBAL (R ALJUBARROTA 1),38.531600,-8.868880
160203,SETÚBAL (ESTR CIPRESTES 60),38.534500,-8.884200
160246,SETÚBAL (AV PEDRO ÁLVARES CABRAL 11),38.531200,-8.875340
160267,SETÚBAL ( ESC SECUNDÁRIA VISO),38.522900,-8.915730
160296,ESTR ALGERUZ (CEMITÉRIO) X,38.543600,-8.860300
160367,CASAL FORRETA X,38.507700,-8.973240
160409,SETÚBAL (AV ALEXANDRE HERCULANO 30),38.527000,-8.890250
160425,SETÚBAL (ESTR CIPRESTES) OFICINAS MUNICI,38.539000,-8.885340
160465,SETÚBAL (ESTR CIPRESTES) ESTAÇÃO CP,38.531000,-8.885420
160466,SETÚBAL (ESTR CIPRESTES) ESTAÇÃO CP,38.531000,-8.885350
160519,SETÚBAL (ESTR CIPRESTES 77),38.534100,-8.884150
160554,ALDEIA GRANDE (EN10 KM31500),38.518400,-8.968710
160603,VF AZEITÃO(EN10)A NECESSIDXVND AZEITÃO,38.528200,-8.985670
160815,AV JOSÉ MOURINHO (GNR),38.521400,-8.889220
160823,AV 5 OUTUBRO ESTAÇ RODOVIÁRIA PISTA 10,38.526000,-8.889610
160824,AV 5 OUTUBRO ESTAÇ RODOVIÁRIA PISTA 10,38.526000,-8.889540
160827,SETÚBAL (RUA DE TIMOR),38.535100,-8.895420
160828,SETÚBAL (RUA DE TIMOR),38.535000,-8.895400
160829,SETÚBAL (RUA FRANCISCO SÁ CARNEIRO),38.536200,-8.894980
160830,SETÚBAL (RUA FRANCISCO SÁ CARNEIRO),38.536200,-8.894910
160833,RUA DO PORTINHO DA ARRÁBIDA,38.475500,-8.984530
160834,RUA DO PORTINHO DA ARRÁBIDA,38.475500,-8.984480
160855,EN 10 JUNTO A X R DA GÂMBIA,38.567400,-8.772100
160875,R DO CANAVIAL 264,38.545900,-8.841280
160883,AV 5 OUTUBRO ESTAÇ RODOVIÁRIA PISTA 21,38.525700,-8.889580
160891,RUA DA LIBERDADE,38.554300,-8.766110
160892,RUA DA LIBERDADE,38.554400,-8.766090
160893,R 9 DE OUTUBRO 29,38.550700,-8.768850
160894,R 9 DE OUTUBRO 29,38.550700,-8.768830
160895,BECO DAS FLORES 1A,38.553700,-8.797980
160896,BECO DAS FLORES 1A,38.553700,-8.797980
160927,R ARTUR HORTA 12,38.524400,-9.021270
160929,R QTA DOS MALMEQUERES 11,38.531200,-9.036260
160930,R QTA DOS MALMEQUERES 11,38.531200,-9.036190
160933,R ARY DOS SANTOS 9,38.546700,-9.028560
160935,VILA NOGUEIRA AZEITÃO (ESC C+S),38.522900,-9.023250
160951,PINHAL NEGREIROS (R POETA BOCAGE 20),38.546900,-9.032930
160954,R POE CALAFATE 110,38.546500,-9.034690
160982,V N AZEITÃO (AV 25 ABRIL - MERCADO),38.525894,-9.021534
170571,R Sociedade 22 Maio (Nova Rede),38.774800,-9.271620
170697,Encosta S Marcos,38.757094,-9.295065
171748,Caminho do Murtal (Centro de Saúde),38.814300,-9.398480
171915,Av Miguel Bombarda - Sintra Estação,38.799220,-9.385772
172083,Mira Sintra (EN 250),38.788833,-9.303067
172103,R Ferreira de Castro 415b,38.788633,-9.302900
172541,R Bernardino Machado Fte 2,38.774473,-9.271616
172547,R Dr Francisco Salgado Zenha Lte 73,38.758021,-9.281418
172608,R Sociedade 22 Maio 12 (Farmácia),38.774892,-9.272351
180103,Av Inf D Pedro 102 (Alverca),38.895676,-9.037427
180104,Av Inf D Pedro 102 (Alverca),38.895300,-9.037050
180146,N248-3,38.951090,-9.057598
180162,En 10-6 (X) R Igreja,38.923800,-9.055240
180237,En 10 (Fábrica Cimianto),38.934200,-9.004900
180354,R Calouste Gulbenkian 1 (Castanheira),38.971800,-8.982350
180421,Lgo Júlia Palha 3 (Jardim),38.990400,-8.972120
180477,R 28 Setembro 39 (Vialonga),38.874100,-9.082000
180480,R Prof Egas Moniz 6 (Vialonga),38.873000,-9.079430
180505,R Egas Moniz (X) R João Deus,38.875200,-9.074290
180507,Lgo República (Vialonga),38.873400,-9.078340
180515,Av Flamenga 4 (Vialonga),38.872113,-9.083759
180549,R República 94 (Forte Casa),38.874700,-9.057730
180573,R Américo Costa 2 (Escola),38.863900,-9.071710
180616,Av D Vic Af Valente (X) R Ram Curto,38.861400,-9.074990
180622,Av Af Valente) (X) R França Borges,38.865712,-9.066683
180705,R República (Escola),38.874100,-9.057420
180722,Pça Cova Bicho 15 (Alverca),38.894500,-9.040650
180729,En 10 (Aqued Águas Livres),38.861100,-9.065160
180737,R Cap Salgueiro Maia (Qta Maranhota),38.878800,-9.071390
180753,Av D Vic Af Valente 3 (Qta Piedade),38.861500,-9.067940
180834,R 25 Abril 14 (Granja),38.858400,-9.104830
180836,Granja (X) Rua 9 Abril,38.860700,-9.103660
180867,Estr Flamenga (Vialonga),38.873800,-9.088620
180868,Estr Olival Fora (X) R D Nuno Mendonça,38.873800,-9.088660
180869,R Amália Rodrigues (Vialonga),38.872200,-9.088730
180870,R Amália Rodrigues (Vialonga),38.872200,-9.088730
180871,Estr Flamenga (Vialonga),38.871900,-9.086450
180872,Estr Flamenga (Vialonga),38.871900,-9.086470
180909,Estr Arruda 8 (Casal Fojo),38.912500,-9.035740
180924,Largo Cruz (Calhandriz),38.925500,-9.065550
180925,En 248-3 39 (Escola),38.931700,-9.018400
200127,200127,38.968029,-9.411775
200131,200131,38.943764,-9.341271
200132,200132,38.943841,-9.341332
200133,200133,39.030114,-9.368399
200137,200137,39.006450,-9.289707
200140,200140,38.982024,-9.279857
200142,200142,38.930771,-9.254821
200180,200180,39.020008,-9.238709
200186,200186,38.988357,-9.197729
200187,200187,38.892603,-9.235675
200194,200194,38.848723,-9.200608
200196,200196,38.930583,-9.202985
200202,200202,38.948812,-9.196038
220080,DEPOSITO VARZINHA-DEPOT1-30072,38.550011,-8.882704
220081,DEPOSITO MOITA-DEPOT2-30073,38.674080,-8.978904
220082,VENDAS NOVAS-DEPOT-30074,38.677287,-8.455003
220083,SESIMBRA-DEPOT-30075,38.445782,-9.099737
220084,LANDEIRA-DEPOT-30076,38.594159,-8.648723
220085,MONTIJO-DEPOT-30077,38.705643,-8.976426
220086,BARREIRO-DEPOT-30078,38.652089,-9.077461
220087,CANHA-DEPOT-30079,38.769000,-8.626111
220088,FOROS DO TRAPO-DEPOT-30080,38.721403,-8.707845
220089,LOJA NOVAS FAIAS-DEPOT-30081,38.685387,-8.716633
220090,PãCEIRAO-DEPOT-30082,38.609924,-8.753026
220091,AGUAS MOURA-DEPOT-30083,38.582645,-8.688346
220092,TERM.VARZEA-DEPOT-30084,38.539524,-8.888011
220093,QUINTA DO CONCE-DEPOT-30085,38.553052,-9.039477
220094,PAR.CARAMUJO-DEPOT-30086,38.674071,-9.153327
021076,Rua Quinta do Lagar 97,38.646576,-9.194489
110580,Odivelas (Metro) P3,38.792347,-9.172353
120788,Oeiras (Estação) P2 Entrada Norte,38.688606,-9.317203
149002,Estação de Coina P4,38.626044,-9.161878
440001,Depot Varzinha,38.549980,-8.882740
