pattern_id;stop_sequence;stop_id;zones
2008_0_3;30;072422;Loures
2008_0_3;31;070171;Loures
2008_0_3;32;070174;Loures
2008_0_3;33;070136;Loures
2011_0_1;0;070209;Loures
2011_0_1;1;070211;Loures
2011_0_1;2;070213;Loures
2011_0_1;3;070216;Loures
2011_0_1;4;070218;Loures
2011_0_1;5;070220;Loures
2011_0_1;6;070222;Loures
2011_0_1;7;070224;Loures
2011_0_1;8;070225;Loures
2011_0_1;9;070228;Loures
2011_0_1;10;070262;Loures
2011_0_1;11;070263;Loures
2011_0_1;12;070266;Loures
2011_0_1;13;070268;Loures
2011_0_1;14;070269;Loures
2011_0_1;15;070272;Loures
2011_0_1;16;070274;Loures
2011_0_1;17;070275;Loures
2011_0_1;18;070277;Loures
2011_0_1;19;070280;Loures
2011_0_1;20;072202;Loures
2011_0_1;21;070258;Loures
2011_0_1;22;070256;Loures
2011_0_1;23;070253;Loures
2011_0_1;24;070236;Loures
2011_0_1;25;070238;Loures
2011_0_1;26;070240;Loures
2011_0_1;27;070242;Loures
2011_0_1;28;070244;Loures
2011_0_1;29;070252;Loures
2011_0_1;30;070247;Loures
2011_0_1;31;070029;Loures
2011_0_1;32;070032;Loures
2011_0_1;33;070250;Loures
2011_0_1;34;070043;Loures
2011_0_2;0;070043;Loures
2011_0_2;1;070283;Loures
2011_0_2;2;070035;Loures
2011_0_2;3;070037;Loures
2011_0_2;4;070248;Loures
2011_0_2;5;070251;Loures
2011_0_2;6;070243;Loures
2011_0_2;7;070241;Loures
2011_0_2;8;070239;Loures
2011_0_2;9;070237;Loures
2011_0_2;10;070235;Loures
2011_0_2;11;070254;Loures
2011_0_2;12;070255;Loures
2011_0_2;13;070257;Loures
2011_0_2;14;072201;Loures
2011_0_2;15;070279;Loures
2011_0_2;16;070278;Loures
2011_0_2;17;070276;Loures
2011_0_2;18;070273;Loures
2011_0_2;19;070271;Loures
2011_0_2;20;070285;Loures
2011_0_2;21;070267;Loures
2011_0_2;22;070265;Loures
2011_0_2;23;070264;Loures
2011_0_2;24;070261;Loures
2011_0_2;25;070227;Loures
2011_0_2;26;070226;Loures
2011_0_2;27;070223;Loures
2011_0_2;28;070221;Loures
2011_0_2;29;070219;Loures
2011_0_2;30;070217;Loures
2011_0_2;31;070215;Loures
2011_0_2;32;070259;Loures
2011_0_2;33;070211;Loures
2011_0_2;34;070210;Loures
2011_1_1;0;070209;Loures
2011_1_1;1;070211;Loures
2011_1_1;2;070213;Loures
2011_1_1;3;070216;Loures
2011_1_1;4;070218;Loures
2011_1_1;5;070220;Loures
2011_1_1;6;070222;Loures
2011_1_1;7;070224;Loures
2011_1_1;8;070225;Loures
2011_1_1;9;070228;Loures
2011_1_1;10;071551;Loures
2011_1_1;11;070229;Loures
2011_1_1;12;070231;Loures
2011_1_1;13;070230;Loures
2011_1_1;14;070234;Loures
2011_1_1;15;070258;Loures
2011_1_1;16;070256;Loures
2011_1_1;17;070253;Loures
2011_1_1;18;070236;Loures
2011_1_1;19;070238;Loures
2011_1_1;20;070240;Loures
2011_1_1;21;070242;Loures
2011_1_1;22;070244;Loures
2011_1_1;23;070252;Loures
2011_1_1;24;070247;Loures
2011_1_1;25;070029;Loures
2011_1_1;26;070032;Loures
2011_1_1;27;070250;Loures
2011_1_1;28;070043;Loures
2011_1_2;0;070043;Loures
2011_1_2;1;070283;Loures
2011_1_2;2;070035;Loures
2011_1_2;3;070037;Loures
2011_1_2;4;070248;Loures
2011_1_2;5;070251;Loures
2011_1_2;6;070243;Loures
2011_1_2;7;070241;Loures
2011_1_2;8;070239;Loures
2011_1_2;9;070237;Loures
2011_1_2;10;070235;Loures
2011_1_2;11;070254;Loures
2011_1_2;12;070255;Loures
2011_1_2;13;070257;Loures
2011_1_2;14;070233;Loures
2011_1_2;15;070229;Loures
2011_1_2;16;070231;Loures
2011_1_2;17;070230;Loures
2011_1_2;18;072231;Loures
2011_1_2;19;070227;Loures
2011_1_2;20;070226;Loures
2011_1_2;21;070223;Loures
2011_1_2;22;070221;Loures
2011_1_2;23;070219;Loures
2011_1_2;24;070217;Loures
2011_1_2;25;070215;Loures
2011_1_2;26;070259;Loures
2011_1_2;27;070211;Loures
2011_1_2;28;070210;Loures
2013_0_1;0;070289;Loures
2013_0_1;1;070292;Loures
2013_0_1;2;070293;Loures
2013_0_1;3;070296;Loures
2013_0_1;4;070298;Loures
